type,YEAR,QUARTER,VALUE
Pre-Paid,2002,1,360
Post-Paid,2002,1,1187.587656
Blended,2002,1,714.077761
Pre-Paid,2002,2,355
Post-Paid,2002,2,1165.257299
Blended,2002,2,634.187999
Pre-Paid,2002,3,314
Post-Paid,2002,3,1109.192382
Blended,2002,3,534.35786
Pre-Paid,2002,4,338
Post-Paid,2002,4,1132.792611
Blended,2002,4,526.111829
Pre-Paid,2003,1,361.520611
Post-Paid,2003,1,1137.709788
Blended,2003,1,523.772709
Pre-Paid,2003,2,352.550027
Post-Paid,2003,2,1178.430404
Blended,2003,2,505.662326
Pre-Paid,2003,3,321.784678
Post-Paid,2003,3,1161.19376
Blended,2003,3,465.19336
Pre-Paid,2003,4,343.513648
Post-Paid,2003,4,1153.970687
Blended,2003,4,472.669463
Pre-Paid,2004,1,373.041866
Post-Paid,2004,1,1206.825134
Blended,2004,1,498.429911
Pre-Paid,2004,2,346.701903
Post-Paid,2004,2,1222.821365
Blended,2004,2,471.725881
Pre-Paid,2004,3,336.586948
Post-Paid,2004,3,1164.783159
Blended,2004,3,450.505941
Pre-Paid,2004,4,356.323427
Post-Paid,2004,4,1169.354589
Blended,2004,4,468.719021
Pre-Paid,2005,1,340.977264
Post-Paid,2005,1,1136.619833
Blended,2005,1,451.073544
Pre-Paid,2005,2,296.361072
Post-Paid,2005,2,1063.947149
Blended,2005,2,398.679733
Pre-Paid,2005,3,297.062551
Post-Paid,2005,3,1032.367074
Blended,2005,3,389.856415
Pre-Paid,2005,4,321.863975
Post-Paid,2005,4,1060.680555
Blended,2005,4,408.565362
Pre-Paid,2006,1,331.572002
Post-Paid,2006,1,1058.701281
Blended,2006,1,411.587375
Pre-Paid,2006,2,271.174743
Post-Paid,2006,2,951.222642
Blended,2006,2,342.389409
Pre-Paid,2006,3,257.87948
Post-Paid,2006,3,849.914629
Blended,2006,3,317.395069
Pre-Paid,2006,4,245.455417
Post-Paid,2006,4,844.074804
Blended,2006,4,307.060884
Pre-Paid,2007,1,234.408527
Post-Paid,2007,1,769.478685
Blended,2007,1,304.418924
Pre-Paid,2007,2,217.705645
Post-Paid,2007,2,715.405605
Blended,2007,2,277.689211
Pre-Paid,2007,3,203.454824
Post-Paid,2007,3,681.117075
Blended,2007,3,254.774745
Pre-Paid,2007,4,196.72674
Post-Paid,2007,4,692.622165
Blended,2007,4,245.177191
Pre-Paid,2008,1,197.172499
Post-Paid,2008,1,688.935254
Blended,2008,1,244.203663
Pre-Paid,2008,2,184.288007
Post-Paid,2008,2,649.181464
Blended,2008,2,228.024115
Pre-Paid,2008,3,173.659362
Post-Paid,2008,3,616.786635
Blended,2008,3,216.539351
Pre-Paid,2008,4,163.853103
Post-Paid,2008,4,585.544826
Blended,2008,4,205.866132
Pre-Paid,2009,1,163.948818
Post-Paid,2009,1,581.538749
Blended,2009,1,205.273251
Pre-Paid,2009,2,158.575432
Post-Paid,2009,2,564.377451
Blended,2009,2,199.516527
Pre-Paid,2009,3,156.882474
Post-Paid,2009,3,565.940164
Blended,2009,3,198.124443
Pre-Paid,2009,4,162.469512
Post-Paid,2009,4,582.443119
Blended,2009,4,204.52577
Pre-Paid,2010,1,161.835246
Post-Paid,2010,1,573.473412
Blended,2010,1,202.268978
Pre-Paid,2010,2,154.003942
Post-Paid,2010,2,574.648063
Blended,2010,2,194.911226
Pre-Paid,2010,3,151.61798
Post-Paid,2010,3,576.114479
Blended,2010,3,192.691915
Pre-Paid,2010,4,159.856139
Post-Paid,2010,4,581.844934
Blended,2010,4,200.3775
Pre-Paid,2011,1,157.202413
Post-Paid,2011,1,580.151744
Blended,2011,1,199.391803
Pre-Paid,2011,2,155.141038
Post-Paid,2011,2,573.286769
Blended,2011,2,195.444923
Pre-Paid,2011,3,154.604649
Post-Paid,2011,3,579.233744
Blended,2011,3,196.850301
Pre-Paid,2011,4,160.407592
Post-Paid,2011,4,617.987565
Blended,2011,4,205.358494
Pre-Paid,2012,1,160.331249
Post-Paid,2012,1,600.461385
Blended,2012,1,207.067873
Pre-Paid,2012,2,158.902695
Post-Paid,2012,2,608.311801
Blended,2012,2,207.897597
Pre-Paid,2012,3,156.171139
Post-Paid,2012,3,597.113836
Blended,2012,3,205.423039
Pre-Paid,2012,4,157.943217
Post-Paid,2012,4,620.854543
Blended,2012,4,211.212084
Pre-Paid,2013,1,158.757766
Post-Paid,2013,1,619.221452
Blended,2013,1,212.673971
Pre-Paid,2013,2,152.319917
Post-Paid,2013,2,611.563072
Blended,2013,2,207.250182
Pre-Paid,2013,3,144.655365
Post-Paid,2013,3,636.509214
Blended,2013,3,203.953921
Pre-Paid,2013,4,144.111918
Post-Paid,2013,4,619.180545
Blended,2013,4,201.767554
Pre-Paid,2014,1,140.763903
Post-Paid,2014,1,613.011535
Blended,2014,1,198.684183
Pre-Paid,2014,2,136.00849
Post-Paid,2014,2,611.185091
Blended,2014,2,195.911033
Pre-Paid,2014,3,134.991631
Post-Paid,2014,3,590.294807
Blended,2014,3,193.854302
Pre-Paid,2014,4,138.552756
Post-Paid,2014,4,576.758921
Blended,2014,4,196.558689
Pre-Paid,2015,1,142.575046
Post-Paid,2015,1,569.391738
Blended,2015,1,203.463838
Pre-Paid,2015,2,150.697154
Post-Paid,2015,2,558.634047
Blended,2015,2,214.96098
Pre-Paid,2015,3,156.588065
Post-Paid,2015,3,549.691636
Blended,2015,3,224.292597
Pre-Paid,2015,4,164.76591
Post-Paid,2015,4,551.932986
Blended,2015,4,232.008424
Pre-Paid,2016,1,164.716858
Post-Paid,2016,1,545.595456
Blended,2016,1,231.168327
Pre-Paid,2016,2,159.394524
Post-Paid,2016,2,548.415233
Blended,2016,2,230.159998
Pre-Paid,2016,3,159.441088
Post-Paid,2016,3,545.774639
Blended,2016,3,231.447794
Pre-Paid,2016,4,155.481681
Post-Paid,2016,4,546.601352
Blended,2016,4,230.634865
Pre-Paid,2017,1,150.429737
Post-Paid,2017,1,539.048319
Blended,2017,1,227.031399
Pre-Paid,2017,2,153.526311
Post-Paid,2017,2,541.663661
Blended,2017,2,233.529052
Pre-Paid,2017,3,154.517489
Post-Paid,2017,3,537.90971
Blended,2017,3,237.374566
Pre-Paid,2017,4,154.248759
Post-Paid,2017,4,537.092559
Blended,2017,4,239.011574
Pre-Paid,2018,1,154.350023
Post-Paid,2018,1,531.517505
Blended,2018,1,240.529289
Pre-Paid,2018,2,156.210943
Post-Paid,2018,2,531.56957
Blended,2018,2,243.909821
Pre-Paid,2018,3,151.15674
Post-Paid,2018,3,522.976261
Blended,2018,3,238.979556
Pre-Paid,2018,4,149.223
Post-Paid,2018,4,523.323455
Blended,2018,4,238.71055
Pre-Paid,2019,1,146.426717
Post-Paid,2019,1,502.05978
Blended,2019,1,233.529006
Pre-Paid,2019,2,152.218877
Post-Paid,2019,2,509.995911
Blended,2019,2,241.812468
Pre-Paid,2019,3,150.841931
Post-Paid,2019,3,509.776189
Blended,2019,3,242.536828
Pre-Paid,2019,4,147.095256
Post-Paid,2019,4,512.5658
Blended,2019,4,240.659028
Pre-Paid,2020,1,139.06809
Post-Paid,2020,1,508.749881
Blended,2020,1,236.206786
Pre-Paid,2020,2,134.882501
Post-Paid,2020,2,507.225656
Blended,2020,2,236.81984
Pre-Paid,2020,3,134.079427
Post-Paid,2020,3,495.865139
Blended,2020,3,235.244627
Pre-Paid,2020,4,132.060251
Post-Paid,2020,4,484.481559
Blended,2020,4,232.810219
Pre-Paid,2021,1,125.13769
Post-Paid,2021,1,477.40908
Blended,2021,1,224.471983
Pre-Paid,2021,2,120.995576
Post-Paid,2021,2,467.584765
Blended,2021,2,220.258961
Pre-Paid,2021,3,116.518864
Post-Paid,2021,3,463.565189
Blended,2021,3,217.186809
